Game States,Optimal Moves
bbbbobxbb,o1
xoxboxbbo,o8
oxbxbobbo,x3
bbbbbbbbb,o5
bbboxboxo,x1
oxxbbooox,x4
bbxoobbbx,o6
oxbobbxob,x5
bbbobbbbb,x5
bbxxobbob,o2
bbbbbbbbb,o5
xbbbbobxo,o3
obobboxxb,x2
oxobbbbxo,x5
oxbboboxx,o4
boobxxxbo,o1
bbbbbbbbb,o5
bbxbbbbbo,o5
bbbobxobb,x1
ooxooxbxb,x7
xbbbobbbb,o3
bbbbbbbbb,o5
bbbbbxobb,o5
boboxbbbb,x1
bbbbbbbxo,o5
xobbbbbbo,x5
bxbbobbbb,o1
bboxbxboo,x5
bbbxbbbob,o5
oxbxobxob,o9
bxbobbbbb,o5
bbbobbxbb,o5
boxbbbbob,x5
bbbbbxbbo,o5
bbbbooxbb,x4
xbbbbobbo,x3
bbxbbbbob,o5
bboooxxox,x2
bxbxboobb,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
xobxbbbob,o7
obbbxoxbb,o3
xoxoxxobo,o8
bbbbobbbb,x1
xobooxxxo,o3
bxbooxxoo,x1
bbbbbbbbb,o5
bbbbxbbob,o1
oxxbobobb,x4
xoxoxxoob,o9
bbbbbobbb,x5
bbobbbbxb,o5
bbbbbbbbb,o5
bxbbbobbb,o5
bxoobbbbx,o5
bbbbbbbbb,o5
boobxxbbo,x1
bbbbbbbbb,o5
boobbbbxb,x1
bbbbbobxo,x3
bbbbxbbbo,o1
xxoooxbbo,x7
oxoxbxxoo,o5
bbbbobbbb,x1
bbbobbbbx,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
bobxxbobo,x6
bobobxobx,x1
bbbbbbbob,x5
bxbxbbobo,o8
bbbbbbbbb,o5
xoxxoobbo,x7
oxobbbbxb,o5
bbbbbbbbb,o5
bbbbbobbb,x5
oxxoboxox,o5
bbbbbbbbb,o5
xobboxxbo,o4
xoxxbooox,o5
xobobxoxo,x5
bxxobbxoo,o1
bbboxbbbb,o1
boobxoxxb,o1
bbbbbbbbb,o5
bbobbbbbb,x5
ooxbxxoxo,o4
bxobbobxb,o5
obobbbxbb,x2
xobbbbobx,o5
bxbobxbbo,o5
obbxbbobb,x5
oxbxbobxo,o5
bbbbbbbbb,o5
boooxxbox,x1
xxoxbbobo,o8
bbobboxbx,o8
bbbbbbbbb,o5
bbbbbobbb,x5
bbbbbbbbb,o5
bxboboxbb,o5
ooxbbxxoo,x5
oxoxxobox,o7
bxbbbboob,x9
bbbbbobbb,x5
xbbobxbbo,o5
obbbbxobb,x4
oxbbbbbbb,o5
xbxobooxb,o2
bbbbbbobb,x5
bobbbbxob,x5
xobboxoxo,x3
xbbobbobb,x5
bbbobxoxo,x1
bbobbbbbb,x5
bxboboobx,x5
boxoxobxo,x7
bbbbbbbbo,x5
bbbbbbbbb,o5
xbbobbobb,x5
bobbbbbbb,x5
bbbbbbbbb,o5
bbbbbbbbb,o5
xoooxxoxb,o9
bbbxobobx,o3
bbbbbobbb,x5
boxbbxobb,o9
bbxbbbbbo,o5
obbbbbbbb,x5
bxxbboboo,x1
bbbbbbbbb,o5
bbbbbbbbb,o5
bbxobbbbb,o5
obxoobxbx,o6
bxxoobobb,x1
bbbbbbbob,x5
xobbobbbb,x8
obbbbboxb,x4
bbxobbobb,x1
boxobbxbb,o5
bbbbbbbbb,o5
bbobbobxx,o7
oxobbbxob,x5
boxboxbbb,o8
bboboxxbb,o1
bxbboxoxo,o1
bbbbbbbbb,o5
bxobxobbb,o8
bbxbobobb,x1
bobbbbbbb,x5
bbbbbbxob,o5
bbobbbbxb,o5
boxbbbbob,x5
xxooxobbb,o8
bxxobobbo,x1
bbbbbobbb,x5
bbbbxbbob,o1
bxbobbbbb,o5
bbbbbxbbo,o5
bbbbbbbbb,o5
bbxbxobbo,o7
oobbbxbbb,x3
obooxxbox,x2
bboxbbbbb,o5
bxboobxxo,o6
bbobbxbbb,o5
obbxobbbb,x9
obbbobxbb,x9
bbbobxbxo,o5
bbbbxobbo,x3
xoboxxboo,x7
bbbbobxbb,o1
xbbobbbbo,x5
bbbbbobbb,x5
bbbbbbbbb,o5
xxobbxboo,o7
bboxbbbbo,x6
xooxxooxb,o9
bobxbbbbo,x5
boxooxxxo,o1
oxoooxbxx,o7
bbbbbbbbo,x5
bbbbbbbbb,o5
oboxxoxox,o2
boobbbbbx,x1
bxbobbbbb,o5
obbbbbbbb,x5
xobbbobbb,x5
oxbobbbxb,o7
bxbbbbbob,o5
oxobxbobx,o4
bobbxbbbb,o1
bxobobxob,x1
bbobbbbbx,o5
xbboxbbbo,o3
bbbbobxbb,o1
bbbbbbbbb,o5
bobbboxbb,x5
bbbbbobbb,x5
boxbbbxbo,o5
obbbbbxbb,o5
xxoobxoob,x9
bbbbbbbob,x5
bxbbobbbo,x1
xobboboxx,o3
bbbbbbbbb,o5
bxbobobbx,o5
obxobxxoo,x5
bbbbbbbbb,o5
bbbbbbbbb,o5
bbxbobbbo,x1
bbbbbbbob,x5
obbbbboxb,x4
obxbbbbxo,o5
obbbbbbbb,x5
bbbbbbbbb,o5
bxbbbobbo,x3
bxbooxbbo,x1
obbbobbbx,x3
boxbxooxb,o1
bxbbboobx,o5
oobbbxbbb,x3
xxboobbbb,o3
bbbobbbbb,x5
bxbbooxbo,x4
bbboxobox,x1
xbobbbxob,o4
bbbbbbbob,x5
bbxbxobob,o7
bobxbobbb,x5
bbbxoxbbo,o1
xbbbbbbbo,o5
bbbbbbobb,x5
bobbbbbbb,x5
obbbxxboo,x4
xbbboxoob,x9
bbbobbbbb,x5
obboxbxox,o3
obxbbbxob,o5
bbbbbbbbb,o5
bobbbbbxb,o5
bbbbbobxo,x3
bbbxobbbb,o1
bxbbxooob,x9
obbbbbbbb,x5
bobboxbbb,x8
bbobbbbbb,x5
bbbobbbbb,x5
bbbbobxbb,o1
bbbxoxobb,o3
ooxxoobbx,x8
bbbbxoxbo,o3
bbobbxbob,x5
bbbbbbobb,x5
oobbxxbbb,o3
obxbbbbbb,o5
obxoobxox,x6
xboxbbobb,o5
bxxbboobo,x1
oxbbbbbob,x5
boxoxxbbo,o7
boxxoxoxo,o1
bboxbxobo,x5
oxobbbbxo,x5
oobxobbxb,x3
bbbbbbbbb,o5
bbboxobbb,x1
bbbbbbbbb,o5
bbxobbbox,o6
oxoxbxboo,x5
bbbbbbbob,x5
bboooxbxb,x7
booooxxbx,x1
bobbbbobx,x5
bxobbbobb,x5
bbxboboox,x2
booooxxxb,x1
bbbbobbxb,o1
xoboxbbxo,o3
bbxxobboo,x7
bbxbbbbob,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbbbbbob,x5
obxbxbbob,o7
xoobobxbx,o8
xxbooboxb,o3
bobobbxbb,x5
bxobboxbb,o9
bbbxbobox,o5
obbbbbbbb,x5
bbbbbbbbb,o5
oxoboxbbb,x9
oboxbbxbo,x2
bbbbbbbbb,o5
oxooxbxox,o6
obbbbbxob,x5
obxoboxxb,o5
xbbbxobbo,o3
oobbbxobx,x3
bbobbbbbb,x5
boxbbbbbb,o5
bxbbbobxo,o5
xbxbobbbo,o2
obbxbbobx,o5
xobbxbobb,o9
oxobbbbbb,x5
xbboboxbb,o5
oxbboxbbb,o9
oxoxbxoxo,o5
obxxbbbbo,o5
bbbobbbbb,x5
oxobxbbob,x7
bbobobxbb,x1
bxxoboxbo,o1
bbobbobxb,x9
boxoxobbb,x7
oobbbxbxb,o3
bbbbbbbbo,x5
bbbbbbbbo,x5
bbbboxbob,x2
obbxobxob,x2
bbbbbbbbb,o5
bbbobbbbb,x5
bbbbbbbbb,o5
obbbbbbbb,x5
bxboxobox,o1
obbbbxobb,x4
bxboobxbb,o6
bobbbbbbb,x5
xbobbbbbb,o5
bbboxbbbo,x1
xobbbbbbo,x5
bbbxobbbo,x1
bbooxbbxb,o2
obxoboxbx,o5
bbbbxoxoo,x3
bbbbbbbbb,o5
bbbbbbobb,x5
xxbbbboob,o3
bxbobboxb,o1
bobbbbxbb,o5
bbbbbbbox,o5
bbxxbobob,o5
oxobbbxox,o5
bbobbxxbo,o5
bbbbbobbb,x5
bboboxbbb,x7
boboxxbob,x1
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbbbbbob,x5
xoxxboboo,x7
bbboobbxb,x6
bbbbbbbbb,o5
bobbbbbbb,x5
bbbbbbbbb,o5
bbbbbbbbb,o5
boxoxbbbb,o7
bboxbbbbb,o5
bbxobooxb,x5
ooxxoxobb,x8
obobxbbxb,o2
xboxoobxb,o7
bbbbboxbo,x3
bbxbbboob,x9
bboobxbxb,o5
bbobbbbbb,x5
xbbxboobo,x8
bbxobxbbo,o5
bbbbbbbbb,o5
bboobbbxb,x5
boobbobxx,x1
obbbxboox,x4
bbbbbbbbb,o5
bbbbooxbx,o4
bbbbbbbbb,o5
xxoxobboo,x7
bbbxobbbb,o1
bbbbobxbb,o1
ooxbbbxox,o5
bbbobobxb,x5
xxboxoobb,o3
bbbbobxbb,o1
xxooobbxb,o6
oxobboxbb,x9
bbbbbbbbo,x5
xbobbbbbb,o5
xobobbbox,x5
bbbbbbbbb,o5
bbxbbbobb,o5
bxoxoxbob,o7
bxoxobxob,o1
oxbbobbbx,o3
bboobbbbx,x5
obxoxobbb,x7
bbbbbbbbb,o5
bbooboxbx,x5
oboxbbbox,x2
bobbbxbbb,o5
xbbbbbobb,o5
xbbbbbobb,o5
bbbbbxoob,x9
oobbxbxxo,o3
bobbbbbbb,x5
oobbbbxbx,o3
xoxbbobob,x5
oobobxxxo,x3
xoxoxbboo,x7
boxoboxxo,x5
bxbobbobb,x1
bobbbbbbx,o5
bbbbbbbbb,o5
bbbobbbbb,x5
bbbbbbbbb,o5
bbbobbbxo,x5
oxobxoobx,x4
obbbbbbbb,x5
bxooboxbb,x5
xoxbbobbb,o5
xbxooxoxo,o2
bxbbbbbbo,o5
xoobbbxbb,o4
obobbbxbx,o2
bbbboboxx,o3
bbbbbobbb,x5
bbbbbbbbb,o5
xboxoobox,x7
bboxbbobb,x5
xobobxobx,o3
xoooxxbbo,x7
bboobxbbb,x5
bbobobbbx,x7
bobbbbbxb,o5
bbxoboxbb,o5
bbxoxbobb,o1
bxoxbobox,o5
ooxbobxbb,x8
xxboobbbo,x3
xobbbbobb,x5
bbbobxbbb,o5
ooxobxbxo,x7
bobxbxbob,o5
bbbbbxoob,x9
obbbxbbbb,o3
xoboobbxx,o6
xbbbbbobb,o5
obbbxbbbo,x3
oxxbbbxoo,o5
bbxbobbbb,o1
xobobbbbx,o5
obxxoxbob,o2
obbbbxobb,x4
bbbbbobbb,x5
bobbbbxbb,o5
bbobbbbxo,x6
xobbboxob,x4
bbbbbbbob,x5
bobbbbbbb,x5
bbbbbbbbb,o5
obbobbxbb,x5
oboxbxobx,o2
bxbxboobb,o5
bbbbbbbob,x5
bbbbbbbbb,o5
obbbbxobb,x4
obbxbbxoo,x5
bbbbbbbbb,o5
bxbobbbbb,o5
bboooxxox,x2
bxbboboxb,o3
bbbbobbbb,x1
xbboobxox,o6
bbobbxbxo,o5
oxoxxbobo,x6
bbbbbbbbb,o5
bbbxoobxb,o1
booxxoobx,x1
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
xobboxbbb,o8
obbbxxxoo,o4
bbbbbbbbb,o5
bbobbxoxb,o5
bbbbobbbb,x1
bbxboobbx,o4
oxxoboxox,o5
xxoobxoox,o5
bobbxoxox,o1
xbbobbbob,x5
boooxxxox,o1
bbbobbxob,x5
bobxoxbbo,x8
bbbbbbbbb,o5
bbobbxbbb,o5
bbbbbbobb,x5
bxobbbbob,x5
bxobxbboo,x7
bxbxxooob,o9
bxobbbbbb,o5
bbbbxobbb,o1
oxbbbooxx,o4
bbbbbobbb,x5
bbbbobbbb,x1
bbobbbbbb,x5
oboxoxxox,o2
xbobbbbbo,x6
boxbbbbbb,o5
xxboobbob,x3
xbbbobobb,x3
obobbxoxb,x2
bxbxbobbo,o3
bxbobbobb,x1
bbbbbbbbb,o5
bbbbbbbbb,o5
xobbobxbb,o4
obxobbbbb,x7
oxxboooxx,o4
bbbbbbbbb,o5
xobobbbbb,x5
bbobxbbbo,x6
bbxbbbbob,o5
xbobbxboo,x7
xoobbxbbb,o5
bobxbxobb,o5
xoxoboxbo,x5
bbbbbbbbo,x5
oxbbbbbbb,o5
boxbxbobb,o1
xbbbbbboo,x7
bobbbbbbb,x5
bbbbbbbbb,o5
xooboxbxb,o7
xobbxobbb,o9
obxbbbbbb,o5
boooxxxox,o1
bbbxobobb,x3
bboboxbox,x2
bobbbbbbb,x5
xooobxbox,x5
oxboxbbox,o7
bxobbbobb,x5
bxxobooox,x1
bbbbbbbbb,o5
bbbbobbbb,x1
bbbbbboxb,o5
bxbobobbb,x5
bbbbbobbx,o5
xbobbbobb,x5
obbboxobx,x4
obbbxbbbo,x3
booboxxbx,o1
xbbbbbbob,o5
boxxxbobo,o6
bbbbbbbbb,o5
obooxbxbb,x2
obxobbxob,x5
bboxxbobb,o6
bobbxxxoo,o4
bbbbbbbbb,o5
bbbbbbbbb,o5
oxobxboox,x4
obbxoobbx,x3
bbbbbbbbb,o5
bbxoxbbob,o7
obbbbbbbb,x5
bbbbobbbb,x1
bbbbbbbbb,o5
xxoooxbob,x7
bobbxbbbb,o1
bbxobbbbb,o5
oxoobxbxb,o7
oxxobbbbb,o7
bbbbbbbbb,o5
bbbbbbbbb,o5
boxbobbbx,o8
bbbbbbbbb,o5
bbbxbbobb,o5
bbbbbbbbb,o5
bbbobbbbb,x5
bbbbbbbob,x5
bbbbbbbbb,o5
bbobbbbbb,x5
bbbbobbbx,o1
bbbbbobbb,x5
obbbbbbbb,x5
oobxbbbbb,x3
ooxxxooxb,o9
bbbbbbbbb,o5
bbbbbboox,x5
ooxxoxobb,x8
bbbbbobbb,x5
bxxboxboo,o1
obbxxboob,x6
bxbobbbbb,o5
oxoxbxoob,x5
xxooobxox,o6
ooxxxobxo,o7
xobxbboob,x9
obbboxxbb,o9
xbbobboox,x5
xbbooxxoo,x2
xxbbbooox,o3
bbxobbxoo,x5
bbbbbbbbb,o5
bbbxoboxo,x1
bbbbbbbbo,x5
bbbbbbbbo,x5
obooxxxox,o2
bxoobbobx,x1
oxxbbobbb,o5
bbbbbbbbb,o5
oxbboxobb,x4
oxbboxoxb,o4
bxbbobobx,o3
xoooxxbob,x9
bbbbbbxob,o5
bbobbobxb,x9
bbbxboxob,o1
bbbobbbbb,x5
bbbbbobbb,x5
bbbbbbbbb,o5
bbbbbbobb,x5
xboxoxboo,x7
bbbbbobbb,x5
xboobxoxo,x5
bbbbbbbbb,o5
boxbbbbbb,o5
oobbbxbbb,x3
xbobbobbb,x9
bbobbxbox,o5
xxoboxbob,o7
bbobxxbob,o4
bbobbbbbb,x5
bxbbobobb,x3
bxooboxbb,x5
bxoooxxob,x1
xxobbobob,x9
bbxbbobbo,x5
xbobboxox,o4
bbbbbbbbb,o5
boxobxbbo,x5
boxobbbbx,o6
bbbobbbbb,x5
obbxbobbb,x5
obbbxbbbb,o3
bbbbbbbbo,x5
oboxbbxbb,o2
bbbobxxoo,x5
bbbbobbbx,o1
bxbxxoobo,o8
oobxobxbx,o3
xbxbobxoo,o2
bbbooxxbb,o1
xxbooxbob,o3
bbbbbbbbb,o5
oxbbobbbx,o3
bbxbobbbb,o1
bbobbbbbb,x5
oxobxxoox,o4
bobbbbbbb,x5
bbbbbbbbb,o5
bobbbbbbb,x5
bbxboobox,x4
xoxbxobbo,o7
bbbbbbbbb,o5
bbbbobbbb,x1
booxxooxx,o1
oxbxxoobo,x8
bobobbxxo,x5
oboxbxbbb,o2
bobobbbbx,x5
ooxxbxobb,o5
xxbbboobb,o3
bbbbbbbob,x5
obobxbbbb,x2
xbboxxobo,o8
bbbbbbobb,x5
xbxbbooxo,o2
obbbbxbbo,x5
bxbxobbbo,o1
obxxoooxx,o2
bbbbxbbob,o1
bbobxbobb,x1
xxboobobx,o3
bobxbobbb,x5
bbxboxbbo,o1
bbbbbbbbb,o5
bbbbbxbob,o5
bxbbooxbo,x4
oobbbxbbx,o3
xoxbbobbb,o5
bbbxooobx,x3
bbbbbbbbb,o5
obxbbboxb,o4
oxobbbbxo,x5
bobbxbbbb,o1
bbbbbbbbb,o5
bbbbbbbbb,o5
oxbxoxoox,o3
bbbbbbbbb,o5
xbxboooxo,x2
oxobbobbx,x5
bbbbbxobb,o5
bxoxxooox,o1
bbbboboxb,x3
xxbboxboo,o3
xbboxoxbo,o3
bbbbbbbbo,x5
boxxxooox,o1
obxbboxbo,x5
bbobxbbbb,o1
bbbbbbbob,x5
bbbbbobbb,x5
bbbbbbxbo,o5
bobxbbbbb,o5
xbbbbobbb,o5
xooxbobxb,o7
bbbobbxbb,o5
xoxoxbbbo,o7
oxoxbxoob,x5
obooxbxxo,x2
xxooobxob,x6
bbbxbbbob,o5
bbbbbbbbb,o5
xbbbbbbob,o5
xobxxoobo,x8
bbbobbbbb,x5
bbbxbbobb,o5
bobbbbbbb,x5
bbxboxbob,o2
xbbbbbobb,o5
bbbbbbbob,x5
bbobbbbbb,x5
obxxoobbb,x9
boobobxxb,x1
obbobbbbx,x7
bbbbbbbbb,o5
obboxbxbb,o3
obbbbbbbx,o5
bbbbbbobb,x5
bobboxxbb,o8
oboxxbbbo,x2
bbbbbbbbb,o5
bbbbobxbb,o1
bbbbbbbbb,o5
oboooxbxx,x2
xbbxoobbo,x7
bbobxbbbb,o1
xbbbbboob,x9
bbobbbbbb,x5
xbbbbobbb,o5
bbbbbbbob,x5
bbbbxbboo,x7
bbbbbbbob,x5
xbbbbbobb,o5
bbxxbbboo,o7
bxoobbbbx,o5
bbbbbxbbo,o5
xxbboobbb,o3
oxbboobbx,x4
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbbbobbb,x5
xobbxoobb,x9
oxbbooxbb,x4
bbbbobxbb,o1
bbbbbbbxo,o5
oxbobbxxo,o5
oboxbxoox,x2
oxxbooxox,o4
bbbbbbbbb,o5
xxobbbobo,x8
obxbbboox,x4
bbbbbbbbo,x5
xbbxoobox,o7
xoxbxooxo,o4
bboxoobxb,x9
xbboxoxob,o9
bxbbxobbo,o8
xbbbbobbo,x3
obxobobxx,o5
bbbbbbbob,x5
obbbbxxoo,x5
bbbbbbbbb,o5
xxbxboobo,o3
bbbbbxobo,x8
bbbbbbbbb,o5
xobbxbobo,x8
bobbbbbxb,o5
xbbbbbobb,o5
bboobxbxo,x5
bboxbbbbb,o5
xooxxooxb,o9
bbbbbbxbo,o5
bxobbbbbb,o5
bxxoxoobo,x1
bbobbbbbb,x5
bbbobbobx,x1
bbbbbbbbb,o5
ooxobxbxb,o7
bbxobxobb,o1
xoobbbbxo,x6
bbbbbobbb,x5
xbbbbobbb,o5
bxooobbxb,x6
bbbbbobbb,x5
bbbobbbbb,x5
booobxbbx,x1
boobbbbbx,x1
bobbxbbbb,o1
boxooboxx,x6
oxxboobxb,o4
bbbbbbobb,x5
xbbxoboob,x9
bxobbobbx,o5
bbbbbbbbo,x5
bbbbobbbb,x1
bbbbbbbbb,o5
bbbxbobbb,o5
bbbxbbobo,x8
xbboobxob,x6
bxbbooxbb,o4
oobxoxbbb,x3
bbbbbbbbo,x5
bxobbxboo,x7
bbbbbbbbb,o5
bobxbbbbo,x5
bobobbxbx,o8
bbxxoooox,x2
bxxoobxbo,o1
oxoooxxbb,x9
bbbbbobbb,x5
bbxbbbbob,o5
bbbbobobx,x3
oxobxboox,x4
bbobxbobb,x1
bbbbbbbbb,o5
bobbxbbbo,x1
bbbbbbbox,o5
bbobbbbbb,x5
obxbxooox,x4
obobbbbxx,o2
bobbobxbb,x8
bbbbbobbb,x5
bbbobbbbb,x5
bbbbbbbbb,o5
bboxboxob,x1
bbobbbbbb,x5
boxxboobb,x5
bbbxbbbob,o5
bbbbbbbbb,o5
boooxbbxx,o1
xboobooxx,x5
obboobbxx,x6
boboxxbbb,o1
xooxbxbbo,o5
xooboxbbx,o8
bbbbobbxb,o1
oxbxxooob,x9
boxbbbbbb,o5
ooxxxoobx,o8
xbbbbbobo,x8
bbbbbbobx,o5
bbbbobbbb,x1
xbxxoooxo,o2
bobobbbxb,x5
bbbbbbbbb,o5
bbboxbbbb,o1
bbbbobbbb,x1
obxbbbbbb,o5
bbbbbbbbb,o5
bbbobbbbb,x5
bbbobbbxb,o5
bxbbbbbbo,o5
bbbbboxbo,x3
xxooxbxoo,o6
bbbxobbbb,o1
xoxooxbxo,o7
bbobbobxb,x9
bobbxbxob,o3
xoobbbxxo,o4
bbbbbbbbb,o5
obxbbbbbo,x5
obobbxbbb,x2
boxboxbxo,o1
bobxbbbbo,x5
bbxbobbbb,o1
bxbbbbbob,o5
bbbbbbbbb,o5
boobxobxx,o1
bbbbobbbx,o1
obbbbbbxb,o5
boxobbbbb,x5
bbbxbbbob,o5
obbxobxbb,o9
bbbbbbbbb,o5
obbbooxbx,x4
bbbbbbbbb,o5
bxxoobbbo,x1
xbbobbbbo,x5
bobbbbbbx,o5
bxboxooox,x1
bbbbbbbbb,o5
bbxbobobb,x1
oxxboxoob,x9
bbbbbbbbb,o5
bobobbxbb,x5
bbobbbxbb,o5
ooxbxxbob,o4
bbbobbbxb,o5
bbbbbbbxo,o5
bxobbbbbb,o5
bbbbbbbbb,o5
bbbxobbbb,o1
oxoboxbbb,x9
boobobxxb,x1
bbboobxbb,x6
xbooxbbbb,o9
oxoxboxbb,o9
bbbbbxbbo,o5
obxboboxb,x4
bbbbbbbob,x5
boxbbbbbo,x5
bbbbbobox,x5
bbxbbobbb,o5
xbbbbbbob,o5
bbbbbbbbb,o5
obbobbxbb,x5
xbbobbxoo,x5
xbbobbbbo,x5
bxboxxboo,o7
xbxooxxoo,o2
xbbbbbbbo,o5
bxxbbbboo,o1
bbbbbbbbb,o5
bbbbbboxb,o5
obbbbxoox,x4
xbobobxxo,o4
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
obbbbobxb,x5
bbbbbbbbb,o5
bbbxboxbo,o1
bbxooxxbo,o1
bbboxxobo,x8
bobbbbbbb,x5
xbbbboxob,o4
bbooxbobx,x1
bbbbbbbbb,o5
oboxbxbbb,o2
bbbbbbbbb,o5
ooxbxxoxo,o4
bbbobxbbb,o5
xxobbobbb,o9
bbxxxoboo,o7
obbbbbbbb,x5
boxbbbbbb,o5
xbxoobbob,x2
xxbooxoxo,o3
bbbxoboox,x2
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbbbobbx,o5
bbbbbbbbb,o5
bbobbbbbb,x5
bxbobbobb,x1
bbbbxbbob,o1
bxbbxooox,o1
bxbbbbbob,o5
bbbbbbbbb,o5
xbbxoboox,o2
xoobxxoxo,o4
bbbbbbbbb,o5
bbobbbxbb,o5
xbxboobob,x2
oxoxobxob,x9
xoxoxxboo,o7
bxooobxxb,o6
obbxxobbo,x3
bbbbobxbb,o1
bbobbbobx,x5
bbbbbbbbb,o5
oxobbbbox,x5
boooxbbbx,x1
boxxbbobo,x8
bbbbobbbb,x1
obbbbbbxb,o5
bobboxoxb,x3
bbbooxxob,x2
boxxxooxo,o1
oxoxoxxob,o9
bxobbxbbo,o5
oboxxbbbb,o2
bbbbbbbbb,o5
bxxobboxo,o1
bbbbbbbbb,o5
oxbobbxxo,o5
bbxobobbb,x5
bbbbbbbbb,o5
oxooxxbbb,o7
xobbbbbbb,o5
bbbbbbbbo,x5
bxbobobox,x5
bbbboxbbb,o1
oxobbbbxo,x5
bbboobbbx,x6
xbobbbbox,o5
bbbbbbbbb,o5
bxobbboxo,x5
xbxbobbbo,o2
bbbbbbbbb,o5
boooxboxx,x1
