Game States,Optimal Moves
bbbbbbbbb,o5
boxbobxbb,o8
bbbbbbbbb,o5
xxbooxobo,x3
bobbbbbxo,x5
boxxoxoxo,o1
xobbbbbbb,o5
bbbbbbbbb,o5
xbobxboob,x9
oboxboxox,x2
bobbbbbbb,x5
bxboobbbb,x6
xoxbboxbo,o4
bxobbbbob,x5
oxbxobxob,o9
obxbbobbb,x5
oxoxoobxx,o7
bbbbbbbbb,o5
bxobbbbbb,o5
bbobbbbbb,x5
bbxbbxobo,o8
bbboxboox,x1
bbooxbbxb,o2
bbboxbbbb,o1
bxobbboox,x5
bbobbbbbb,x5
xxbxoooox,o3
bxbboboox,x3
oxobbxbbb,o5
bbbbobbxb,o1
xbbobboox,x5
bbbbbbbbb,o5
bbobbxbbb,o5
bbbbbbbbb,o5
bbbbbobbx,o5
bbbbxbbob,o1
xoxbboxoo,x4
bxxoobbbb,o1
bxbbbobbb,o5
bbbbbbobb,x5
bbbbxobob,x1
bbbbobbbb,x1
bbbboboxb,x3
xobbxooxo,x3
xoxbbbobb,o5
xooobbxbb,x5
oxoobbbxb,x7
bbbbbbbbb,o5
oxxxxoobo,o8
bbbobbxbo,x5
bxboxobox,o1
bbobxbobb,x1
bbobxxoox,o4
boboxxbox,o3
bbobbbbxb,o5
bobxoxobx,o8
obobbbbbx,x2
xoboxxobb,o9
bbbbbbbbo,x5
bbbbbbbbb,o5
bxxoxoobo,x1
bbbobbxbb,o5
boxxboxoo,x1
bbbbbbbbb,o5
oxoxxobob,x9
bbbbxbbbo,o1
xboboxbob,x2
bbobbxobb,x5
booxbbbxb,o1
oobbbxbbb,x3
bobbbbbbb,x5
xoxxoboxo,o6
boxbbbbbb,o5
booxbbxbb,o1
bxboobbbx,o6
bxooxxxoo,o1
obxooxbxb,o7
bbbbbbbbb,o5
bxbobbobb,x1
bbbbbbobb,x5
bbbbbbbbo,x5
bbbbbbbbb,o5
oobbbxbxb,o3
bbobbbbbx,o5
bbbbbbbob,x5
oxxbbobbb,o5
xoxobxobb,o9
bboboxxob,x2
obxbbboox,x4
xxobxoobb,o8
bobbbbbxb,o5
oxboobbxb,x6
oxoxxoxob,o9
bxoooxxox,o1
bbbbbobbb,x5
bxbbbbobb,o5
bbbbobbxb,o1
bbobbbbxo,x6
oxbbbbbob,x5
obxxobbbb,o9
xooobbbxx,o7
bboxbbobb,x5
oxoxobxox,o6
xboxbboxo,o6
oxbobxbob,x7
xbobbbbbb,o5
bxbooxbbb,o1
bxbbbbobo,x8
bbbbbbbob,x5
bbobboxbb,x9
bbbobxobb,x1
xbbbobbob,x2
bbxobbbbb,o5
bobbbbbbb,x5
boooxbbxx,o1
bbxxoobbo,x1
xobbbxbbo,o5
bxbbbbbbo,o5
bbbbbbbbb,o5
obxbxboob,x9
bbbbxoxoo,x3
oxobboxox,x5
xbxooboox,x2
bxobxbboo,x7
xbobobxbb,o4
bbbbbobbb,x5
oobxbxxob,o3
xoxooxbbb,o8
oxbxbooxo,x5
bbbbbobbb,x5
bbbobbbbb,x5
oxxbbbbob,o5
bbbbbbbob,x5
bbbbbbbxo,o5
bobbxbbob,x1
bbbxbxboo,o5
xobbbbbbb,o5
bbobobxxb,o9
bbboxoxbb,o3
obbxbbbox,o5
oxobxbxob,o9
oboxbxbbb,o2
xbboxoobb,x9
obbbbxbbb,o5
oxbbbbbbb,o5
xobboxoxb,o3
bxobbbbob,x5
bbbbbbbbo,x5
bbbbbbbbb,o5
obooxbxbb,x2
bbbbxbbbo,o1
boxoxbbox,o6
bbbbbxobb,o5
bobbbbbbb,x5
bxboobxob,x6
xooxoxbxo,o7
bbbobxbbb,o5
xbooobbbx,x6
bbbbbbbbb,o5
boxbbxobb,o9
oxobxoxbb,o8
booobxxbx,o1
bxbbboxbo,o3
xbboboxxo,o5
xbooxxboo,x7
bobbbbbbb,x5
oboxbxbbo,x2
boxbbbxob,o5
bbbbbbbbb,o5
bbbbbooxb,x5
bbbbobbbx,o1
bbbbbbbbb,o5
xbxxooobo,x2
xooxbboox,x5
ooxbxobbb,x7
bobxobxbb,o1
booxbbbbx,o1
bbbbbbbbb,o5
obbbbbbbb,x5
bobbxbbbo,x1
bxxoxooob,x1
bbbboxbbo,x1
xxoobxoxo,o5
bbbboxobx,o3
bbbbbbobb,x5
bbbbbbbbb,o5
bboxbooxx,o5
xoboxboxo,x3
xbxbooxob,o2
bbbbbbbox,o5
xbbbbbobo,x8
bbbbbbobb,x5
bbbxbbboo,x7
bxoxxbboo,o6
bbbbobbbx,o1
boobxbxbb,o1
obxoboxxo,x5
bbbbooxbx,o4
bbbxbobbo,x3
bxbbbooox,x5
obobbbbbx,x2
bbxobobbb,x5
bbbbbbbbo,x5
bbboobbbx,x6
obxxoooxx,o2
xbxbobobo,x2
bbbbbbbbb,o5
obobbxbbb,x2
obbbbboxb,x4
xobbxobbb,o9
obxoxobox,x7
xooobxxob,x5
bbbbbbbbo,x5
bbbbbbobb,x5
xboboxxob,o4
xbobbbbbb,o5
bbbbbbbbb,o5
bbbobbbbb,x5
bboxobbbb,x7
bbbbbobbb,x5
bbbbbbbbb,o5
oxxbboxoo,x5
boxbbboxb,o5
bbbobbxbo,x5
bbbbbbbbb,o5
boxbbbbob,x5
bbbbbbbbb,o5
obbbbbbbb,x5
bbbbbbbbb,o5
bbboxbbbb,o1
xoobxxxoo,o4
bobbbbbbb,x5
bbobbbbbb,x5
bbbbbbbbb,o5
xobxxooxo,o3
bbbbbbbbb,o5
xboobbxob,x5
bbbbxbbob,o1
bbbbbbbob,x5
bbxooxbbb,o9
ooxobbxxo,x5
bbbbbbbbb,o5
xbbbbxoob,o9
bxobbxoob,x9
bbbbbxboo,x7
bbobxxbbo,o4
bbbxbbobb,o5
bbbbbbbbb,o5
booooxbxx,x1
bbbbbbbbb,o5
bbbobxbbb,o5
oboxbbxxo,o2
bbboboxox,x5
obbobxbbx,o7
bbbbbbbbb,o5
bobxoxbbo,x8
bobbxxbob,o4
xxoobbxoo,x6
bbbbbxobb,o5
obxoxbbbo,x7
bbbobbbbb,x5
obboxobxb,x7
bbbbbbbbo,x5
bbbbbbbbb,o5
obbbxooxb,x4
bbbbbbbbb,o5
bxbbbbboo,x7
xbxoxobbo,o2
bbbbbbbbb,o5
boxxobbbb,o8
bbbbbbbbb,o5
bbbxbbboo,x7
bbbbxbxoo,o3
obxbxbbbo,o7
bxobxboob,x9
bxooxoobx,x1
bbbxbobbb,o5
obbbbbbbb,x5
bxbobbxoo,x5
xoxbxoboo,x7
xoxboobbb,x4
bxbbobbbb,o1
ooxbboxxo,x5
bbbbbbbbb,o5
bbbboxoxo,x1
obxoxobxb,o7
bxobbxoox,o5
bxxoobxob,o1
bbbxbbobb,o5
bbbbbbobb,x5
xoxoobxxo,o6
bbbbbbbbb,o5
oxxbboxbo,o5
bbbbbbbob,x5
bbbbbbbbb,o5
bbbbbbbbb,o5
bbobbobbx,x5
ooboxbxbb,x3
bbbbbbbbb,o5
bxbobbbbb,o5
obxbbbobb,x4
xobbxxobo,o4
bobxoxxbo,o1
booxbbxbb,o1
bbbbbbbbb,o5
xobbbxobo,x8
bbbbbobbb,x5
bbbbbbbbb,o5
oxboxxxoo,o3
boxoxbbob,x7
oxbxoobox,x3
bbbbobbxb,o1
xoobbxxob,o4
bbbboboxb,x3
bobxoboxx,o3
bxbxbobob,o5
bbbbobbbb,x1
bboxooxbx,o8
xoooboxbx,x5
bbbobxbxo,o5
bbbbbbbbb,o5
oxoxxboox,o6
bbxobbxbo,o5
bobbbbbbb,x5
obxxooobx,x2
bbbbbbbbo,x5
xxoxoobox,o7
xbbbboxbo,o4
bbobbbxob,x5
bbbobxbbb,o5
bxxooxoxo,o1
boxobbbxb,o5
xooxxoobb,x9
bbboxbbbo,x1
bbbbbbbbb,o5
bbxxobboo,x7
bbbbbbbbb,o5
boobbxbbb,x1
bbbobxbob,x5
bobbbbbbx,o5
oxobobxbx,o8
bobxbboxb,o5
bbbbbbbbb,o5
bbxboxbbo,o1
xoxbboxoo,x4
bbxbbobbb,o5
bbbbbbbbo,x5
bxobobbbx,o7
oobobxbxb,x3
bxbbbobbb,o5
boxxbobox,o5
boxoxobbb,x7
bbbbbbbob,x5
bbbbbbbbb,o5
bbbbbbbbb,o5
boobxbxxo,o1
bbbbbbbbb,o5
xxoobbbbb,o5
oxxbbobob,x5
bbbbbobbb,x5
xbbbbbobb,o5
bbbxbbboo,x7
xxbboooxb,o3
bbboxboxo,x1
oboobxxbb,x2
oxbobbbbb,x7
xxbbooxoo,x3
xbbbbobbb,o5
oobbbbxox,x3
bbxobobbx,o5
xbobxxobo,o4
bbbbbbbbb,o5
xbbxobbbo,o7
xbbobxoob,x9
bbbbbxoxo,o5
xbxobbbob,o2
bbbbbbbbb,o5
bobxboxob,x1
obbbbbbbx,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbboxobx,o3
bboxxobox,o1
xxobbbbob,o5
bbboxbobx,o1
bbobbbbbb,x5
bxbobbbbb,o5
bbbbbbobb,x5
obxxxooxo,o2
obbbbbbxb,o5
ooboxxbbb,x3
bxoooxxox,o1
ooxxbooxb,x5
bbbbbbbbb,o5
bbxbobxob,o2
bbbbbbbbb,o5
obobxoxxb,o2
bbbbboxbb,o5
xobbbxbob,o5
bbboboxbb,x5
bbbbobxox,o2
bbxbbbbbo,o5
xobboboxx,o3
bboxobbbb,x7
bbbbbbbxo,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
boxobbbbb,x5
bboxbbxoo,x1
bbbbbbbbb,o5
xbxoobbxo,o2
obxxxooxo,o2
bbobbbbbb,x5
bobobxbbb,x5
boxoxxoob,x9
xbooxbbbb,o9
xoxoxbbob,o9
oxooxobbx,x7
bbboobxbb,x6
bbbbbbbbb,o5
bxbbobxbo,o1
bbbbxobbb,o1
bbbbbbbbb,o5
bxbbbboob,x9
bbbbbbbbo,x5
oxobbobxb,x5
bbbbbbbbb,o5
xobbbooxx,o5
boboxoxxb,o9
bobbbbbxb,o5
bbbbbbbob,x5
bobbbboxb,x5
bbbbbbbbb,o5
xoboxobxb,o9
bxbbbobob,x5
bbobbbbbb,x5
boxbobxbb,o8
xooxoobbx,x7
bbbbbbbbb,o5
bbbbbbobb,x5
bbbbbbbbb,o5
bxbbbobbo,x3
bbbbbboxb,o5
bbooxxxob,o1
xoxxbooxo,o5
ooxooxxxb,o9
bbxbobbbb,o1
bbbbbbbbb,o5
bxxbbobbo,o1
xoxobbxbo,o5
boboxxoox,x1
oxxbobbox,o6
bbbbbbbbb,o5
xboobbbxo,x6
bbbbbbobb,x5
bbbbxbbbo,o1
bbbbbbbbb,o5
oobxxoxob,x3
bbbbbbbbb,o5
bobbxobbb,x1
oobobbxxb,x3
bboxobbbb,x7
bobbbbbbb,x5
bbbbbbbbb,o5
oxxxxoobo,o8
bbbbbbbbb,o5
xxbbobobb,o3
bbbbbbobb,x5
oxooxoxbb,x8
xbbbboobx,o5
bbbbbbbbb,o5
oxbxbbbob,o5
ooxbbobxb,x5
obobbxbbb,x2
oxbxoxoox,o3
oxbobxbbo,x7
bxobbbbbb,o5
bobxxobxo,o3
bbbbbobbb,x5
obbbbxbbb,o5
bbbbobbbb,x1
bbbxboxbo,o1
oboxbxobx,o2
obbxbbxoo,x5
bbboxbbob,x1
obbbbbbxb,o5
obbbxbxob,o3
xbbbbxobo,o8
bbbbbbbbb,o5
bxbbbbobb,o5
bbobbbxbo,x6
obbbxbbob,x3
obobbbbxb,x2
bbbbbbbbb,o5
oxooxbxox,o6
bbobbxbbo,x5
bobbxbbob,x1
obxbbbxob,o5
bbboxbbbb,o1
oxxoboxox,o5
xobbxbobb,o9
xobxbxoob,o5
xobxoooxb,x3
bbbbboobx,x5
xbobooxxb,o4
oxxbobbbb,o9
xbbbooxox,o4
ooxxbxobb,o5
xobbobbbb,x8
bbboxbbbb,o1
oobobxbxb,x3
bxxoxooox,o1
obxxboxob,o5
bbbbbbbbb,o5
bbbbbbbbb,o5
bbbobbobx,x1
ooxbbxxob,o5
oxbbbbobb,x4
bbbbbbbob,x5
bxbobbbbb,o5
bxxbxoobo,o1
bbbbbbbbb,o5
oxobbbbxb,o5
xbobbbbbo,x6
bbbbbbbxo,o5
oxbbbbbbb,o5
bbboxbbbb,o1
bbbbbbbbb,o5
xboxxoobb,o9
bbbxbobbb,o5
bbbbbbobb,x5
bbobbbbbb,x5
xxobxooob,x9
bxbbbbobo,x8
bbbobbbbx,o5
obxxxoboo,x7
oxbobobxx,o5
xobboxobb,x8
bbbxbbobb,o5
oboobbxbx,x2
obbbbbbbb,x5
xbbxobobb,o3
xobxoobxo,x7
xxobbbobo,x8
bxobobxox,o1
xbbobobbb,x5
bxbbbbobo,x8
bbbbbbbbb,o5
oxbxboxbo,o3
xoxbbboox,o5
xboxoobbx,o7
xxbbboxoo,o3
xbbbobbox,o2
bbbbbbbob,x5
boobbbbxb,x1
bobbxbbbb,o1
bbbbbbbbb,o5
bbbbobbbb,x1
xbobbxoob,x9
obxxbbobo,x8
obbbbbbbb,x5
bbbbbbbbo,x5
bbboxbobb,x1
xbbbbbbbo,o5
bbobobxxo,x6
oxobbbxbo,x6
bbbxoobbx,o1
bbbbbbbbb,o5
obbbbbxbb,o5
oxoxxbboo,x6
ooxxoobbx,x8
bobxbbbbb,o5
ooxoboxbx,x5
bbbbobxbb,o1
xbbbbobob,x5
bbobbbbbx,o5
bxxbbooob,x1
oxbxbbxoo,o5
bbbbbbbbb,o5
bobbbbbbb,x5
bbbbbbxob,o5
obooxbxbx,o2
obxxbooox,x5
bbbbbbbbb,o5
bbbbbobbb,x5
bbboxbbbb,o1
bbbbbbbbb,o5
boboxbbbb,x1
bbbbbbbbb,o5
bbbbbbbbb,o5
xobxxobob,o7
obbbbbbbb,x5
bxobbbbbb,o5
bobxbbbbb,o5
xxboobxoo,x3
bbxbbbobb,o5
bbbbxooox,x1
bxobbbbbb,o5
xoxooxxbo,o8
bbbbxooox,x1
obbbbbbbb,x5
xbooxoxbb,o9
bbobxbbob,x1
ooxbbbxbb,o5
bbxobbbbb,o5
oxobbxxob,o5
xboobxxob,o5
bobbbbbbb,x5
boooxboxx,x1
bbbbbbbbo,x5
bbbbbbbbb,o5
bbbboobbx,x4
bobbbbbbb,x5
bbobbbbbb,x5
bbbxoboxo,x1
oobbxbxbo,x3
oxxxoooxb,o9
obxoobxxb,o6
obbbbbbbb,x5
bxbbbbbbo,o5
xbbbbobbb,o5
bbxbobobx,o6
obobxxxbo,o2
xbxobooxo,x2
bbbobbbbb,x5
bbbbbbbbb,o5
oxbxbooxb,o5
bbxobxxoo,o5
obbxbxbbo,o5
oobxboxxo,x3
xboobxbox,o5
oxbobbbbb,x7
bbbbbbbbb,o5
bbbbbbbbb,o5
bbxbboobb,x5
bbbbbbbob,x5
obobbxxox,o2
bbobobxbb,x1
xboboxxob,o4
bbbxbbbbo,o5
bbbbbbbbb,o5
bbxbbboxo,o5
bbbbbxoxo,o5
obxboxbbb,o9
obbxbbbbb,o5
bbobbxbbo,x5
bobbbxbbb,o5
bbbbbbbbo,x5
boobxooxx,x1
bbbbbxbob,o5
oobxbbxbo,x3
bbbbbbbbb,o5
ooboxxxob,x3
bxbobxxoo,o5
obbbbbbbb,x5
oxxobbbox,o7
bbbbxoobx,o1
obbbbbxbb,o5
oxooxbxox,o6
bbbbbxobb,o5
bbbobbbbb,x5
bbbxbboox,o5
oxbobxxbo,o5
obbbbbobx,x4
bbbbbbbbo,x5
bbxoboobx,x5
bbobbbxbo,x6
bbbobbbbb,x5
bbbbbbbbb,o5
bbxbbbbob,o5
bxobobbbb,x7
bbxxobbob,o2
bbbxbbbob,o5
booooxxbx,x1
bobbbbxbo,x5
ooxbooxbx,x4
obbbbxbbb,o5
obxbbobox,x5
bbbbbbbbb,o5
bbbobbbbb,x5
bbbbbbbbb,o5
bxoxxooob,x9
bbxbbbbob,o5
bbbboxbbb,o1
oobxbboxx,o3
bbbbbbbbb,o5
bbobbbbbb,x5
xbobxbbob,o9
bobobxbbb,x5
obxbbbbbo,x5
oobbobxxb,x3
oboxbbxxo,o2
bbxobbobb,x1
xoxoxobbo,x7
bbbbbobbb,x5
obxbbbbbb,o5
bbbbbbbbb,o5
bbbbbobbb,x5
bbbxbobob,x5
xbobxbbbo,o6
ooxbboxxb,o9
bbbbbbbbb,o5
xoobobxbb,x4
bxoxboobb,x9
bbbbbbbbb,o5
bbbxbobbb,o5
xbbbobbox,o2
obbbbbbbb,x5
bbxbobbbo,x1
