Scramble (State),Solution
B2 U2 L' F2 U L' D2 B' R2 B2 R2 F2 R U F2 L2 B' F D2 U , U F B2 U B2 L F2 B L U' D L' F2 B2 D F2 U2 R2 D' L2 U2 L2 
F R2 B' L F' L2 B' R L B' D2 B2 D2 L' U2 R2 L' D B2 L , U D' L2 D R' F' R' L' U B D F2 L2 D' F2 D2 F2 L2 D F2 
B' D2 U2 L R2 D2 B2 L B' D2 B2 U' L2 D' F2 L' D' R D2 U , B U' F' D2 R F' U' R2 U L' F2 D2 F2 U' D2 B2 R2 F2 L2 U 
U2 F2 L D' L2 B2 R' U' L2 F2 B L' D' U' L2 F2 L2 F2 D U , L' B' R' B L' U2 B R U2 B' R2 B2 D' B2 R2 D2 F2 R2 U' F2 
D' U' R2 F D U2 R' F2 D' L2 F' U R2 L' D' B2 L D U B , R U' L F2 U' F B2 U R' L D' B U' B2 L2 D2 R2 U2 D R2 F2 L2 
D2 F' D L2 F R2 B2 D2 B2 F2 L2 B2 D2 L2 D2 R2 B U2 L2 B2 , F2 L2 F U2 F' D' F' U' R2 U' D2 R2 D2 L2 F2 D2 R2 
D2 F2 U' F U2 D2 B2 L' B F2 L2 B2 F U D2 B' U F B' D2 , R' U L' F L D R B' U' D2 B' U2 L2 U B2 U L2 D' B2 U' 
U2 D2 R B2 F2 L' F2 D2 R2 F D2 L2 D' L' F L' D' B D' F' , D' L F' L' B D L U' B2 U2 R F2 R2 D' B2 R2 D R2 D2 L2 B2 
B' F2 U F2 R2 B2 D2 U2 B L' F' L2 D2 B R2 L' F' R U2 L2 , U F2 L' D2 F' U2 R B2 L' F R' L2 U2 B2 D R2 U2 L2 B2 D' B2 
F' L2 F U R' L2 U2 B F' D2 L2 R2 U2 R2 U2 F2 U' F U2 L2 , D2 B' D' R2 U2 F' D B' U2 R2 L' U' F2 D2 B2 U2 R2 D' R2 U2 L2 
L2 D' B' F D' B' U' B2 F2 U2 F D2 L B U' B' F2 D2 U' F' , D2 R2 L D' F' U R2 F B' U L U2 R2 D' R2 L2 U' R2 U' R2 U2 
B U2 B D2 U' R2 U2 D2 B' D' L2 F D2 L2 D B2 F2 L B' R2 , U' L U2 F' D' F R B' R' D F U' R2 L2 D B2 D2 F2 B2 U' 
F' D2 L' B L R2 U2 R2 D2 R2 L2 U2 F2 B U2 L F2 L' R F' , U2 F2 L' U2 L2 B' R' F' B R L' F2 B2 U' L2 F2 L2 F2 U' 
F U' B U2 F2 L2 F2 L2 U L R2 B2 L' U2 D R2 U' B R2 U , F B' D F' D2 R2 F' R B R' B2 U' F2 R2 U R2 U' R2 L2 D 
U' R F D U2 B' D2 F L' F2 U2 L U' B2 R2 B R2 L2 U' B2 , F' U D2 L2 U F D' L2 U B2 L' B2 U L2 U D' L2 D' F2 
F2 R L D R B2 L F D R D L' U L B2 U2 R2 L' D' R2 , B U F' B2 D' F D F' R B U F2 L2 B2 R2 U D F2 R2 
U F' R F' B' D2 U2 R' D' F D2 R' F' B2 L' B' D' F2 U' F2 , R' U2 B D' L2 U2 R F' U2 D L U' R2 D' F2 U2 B2 D R2 F2 B2 
L' R' F2 U' B D2 B2 D' L2 R D F U' L' F2 R' L2 U2 B2 U2 , U' R2 U2 L2 F' B2 U' R F' U L U L2 B2 U B2 D' F2 D B2 L2 
B2 D' L2 R2 F L2 B' D R' F D' B R2 B' F2 R L U' B' L2 , D' F2 L' F' D' F2 B2 R' L F R D2 L2 U2 F2 D R2 B2 U' L2 U' 
R' D B2 L' B2 R D2 R' D R' L2 B R U F2 L R' D2 U' F , D L' F2 B' D2 B' U' R U2 L' B2 U2 L2 U' B2 R2 B2 U2 L2 U2 
D L' U2 L F' L2 D2 R' D' B2 U' R' D' U' R' D' L U2 B D , B' D2 B2 D' L D2 B' U' R' U F B2 U2 D F2 L2 U B2 L2 D B2 
L2 F B2 U2 B2 D' B' F2 U' L2 D L2 R' F' B L2 U R' U2 D2 , R' F2 D B L' D R L' U' B L D2 F2 B2 U L2 U' R2 F2 D2 L2 
F2 B' L' F2 D2 L R' F' D2 U2 L' U2 B' U2 L2 F2 B2 D2 L2 U2 , U' B2 D R2 D2 F' B2 R' F B2 R2 D B2 D B2 L2 U D 
R2 U' D2 F2 L R' F' B D2 B2 F L D L' R2 F U L D U2 , L2 F' L2 D2 B' L' F2 U' B R L' U B2 D' R2 U L2 U' F2 D2 L2 
R2 D F2 U F2 D2 B' L' U' F D2 F' R2 F2 D' R2 L2 D' L2 U , F2 U' R2 F2 L2 D2 L' D' R2 D F' U R2 D2 L2 F2 U2 F2 D' B2 U' 
L2 R2 B' F2 L2 F' B' L2 B2 U R D' B2 R F2 R' D2 U' L2 U2 , U L B2 D2 R' U' F D' F2 D2 R' U F2 B2 U F2 U L2 D' B2 L2 
R B2 U2 D' F' D2 B F2 D B2 U' B2 F2 L2 F D L2 F B U' , U2 F2 R2 F2 D F2 U2 L2 F2 B L' D F2 B2 L2 D R2 B2 U' B2 D 
F R B2 R' L' U2 B' D2 F2 B2 R2 D' L2 D2 R2 B D' F D' F2 , U D2 R U R2 L U2 B D2 B2 R L2 F2 R2 U2 R2 U' F2 D R2 
F2 R2 B2 L U2 L' B2 U' B' L' D2 L' F2 R' L' D2 B2 R' B R' , U2 F2 D2 F2 D' R' B D2 L2 U' L B2 R2 F2 L2 U B2 D' B2 
D R' B2 U' L' U2 B' U2 R' L2 F2 D' B' D' U2 F2 R F2 B' R2 , U F' L' B' L2 U2 R D' L' D' R U R2 L2 D B2 D2 R2 D' B2 D 
R2 L' F' L2 U B' R U L2 U' L D2 U2 B2 R2 D2 B2 L2 B F' , U L' F D F2 R U B' R2 L2 F2 L D F2 U2 B2 L2 U B2 U2 B2 R2 
L2 D2 B D' L U' R B L F R U2 R F2 B2 D R2 U F2 L , L2 F2 L F U2 F2 L' D' F' B R' F2 U2 F2 D L2 U D2 R2 B2 L2 
D2 B' R D U B2 L B2 F2 U D2 F2 U2 L2 F2 R' D2 U2 R' F2 , R L' D F2 B' R2 U' B D' L D' F2 U2 R2 F2 R2 U2 B2 U R2 
D2 F2 L2 D2 F D' F2 D2 R2 L2 B2 R2 D2 B' F2 U2 L' U' B U' , U' L2 B' R2 F' L D2 F' U' D2 L' U F2 U F2 U2 R2 D2 L2 U' D' 
D2 F2 L U' B' F2 R' D U2 B' R F2 U L2 R' D2 L2 D L B , L' U2 R' F L2 B U' B U F L2 B2 D' R2 B2 U D F2 D' 
F' B D B D2 F2 D2 L R U B2 L2 D B F2 U' R B R2 U2 , U2 R2 U F L2 F' B2 L D' R B' R2 L2 F2 U' R2 U' F2 U' B2 L2 
B2 F' L' R' U2 R' F R2 B U2 L' D2 B' D B L2 R2 U' D2 R2 , L' D' R2 D' R' D L2 B' R L2 B' L2 D F2 D R2 U' F2 L2 F2 
U' L D F' U2 D2 L U L2 B' U' L2 B2 F2 L2 D U' L F2 U2 , U R2 L D R' U' R2 D' F' D2 B' U' L2 U2 D' B2 D2 B2 L2 D F2 
D' B2 U2 R D2 R2 D B R' U' D L R B R2 U R2 F2 R D2 , D2 B2 L' B2 U2 D' L F' R L' B2 U F2 R2 D' B2 L2 U2 B2 U2 
L' D B' F' U2 L2 U L F2 B2 D2 L2 U R2 L U' F2 L U2 F2 , U2 D2 B D B U B' R' F B2 U' R2 D' R2 U L2 U B2 D' 
U' B D U2 B' L F D2 F B2 U2 F2 R' D' U2 B2 L2 U' R2 D2 , U2 B D R2 U' L B' R2 B2 L B2 U D2 F2 D L2 D' B2 L2 U 
R' B2 U2 F' B2 U2 F' B L2 F' R2 D2 U2 B' L R2 F2 U2 D2 L , L' U2 D R L U2 R' B' L U2 R2 B2 R2 F2 L2 U2 L2 B2 D 
F' R2 U L' R2 F2 R2 U2 D2 F U2 B L' R2 F2 R' L2 D' R U , U L2 U F D' F2 D B' L U F B2 U F2 D F2 D R2 D2 F2 L2 
L2 R U' D' R' B2 F' R2 D B' R' L' F2 R' B2 L' F2 L2 R D2 , U R2 D2 L2 B L' U' F D R' U' F' U' R2 U2 F2 R2 F2 U R2 U' B2 
F' L' B2 R2 B R B F R' U2 L2 U2 R' F' L' F' B' U D R2 , U2 B' D R' B' U L2 B' U2 F' U' R2 U' B2 U' L2 U' R2 F2 D' 
D2 L2 D2 L R' B R U2 L2 U B' U2 B2 F R' D L U B R , R' U B L2 B' L' B L D' F L2 U R2 U F2 D L2 F2 D' L2 
U D' F2 U' D B' U2 B' U2 D2 L2 B2 F2 U2 R F2 D U' R F , F' R' U D' F2 R' L2 B' L2 B D2 F2 D2 L2 D2 B2 R2 B2 R2 
D2 B' L2 D' R2 U2 D2 F2 R2 F' D2 B R B2 R B' U2 F' D U' , D' F' R' D B R' U D' L2 B' U' B2 D' F2 D L2 F2 L2 B2 U2 
B U L' U' L' B2 D2 F' R' F2 D2 F2 U B F' R2 L' F2 B R2 , B' D F' D' L B' U D R F L2 U' L2 B2 U R2 D B2 U R2 
U' L2 U2 R F2 R' U' F2 U R2 D' L' D L' B2 D2 L2 U' F2 R2 , U R L2 U' R' U2 F2 D R B2 L' B2 U2 B2 D L2 B2 D' B2 D' L2 
B' F2 L2 U L' D2 U2 B2 D2 B' R F2 B' D2 F B2 D B R2 B2 , U L' U2 L B' U2 R' D' L' B U2 F U2 D F2 L2 U L2 U R2 D R2 
F' L2 D2 U R' B2 U R2 L2 U L2 D' F B2 L' D2 R' U' D' B , R B U' B' R' F2 B D' L D2 R D2 L2 D F2 U R2 F2 D2 F2 U 
L2 U2 R L2 B2 U2 L D R2 U D2 L' F2 D2 R2 D' B F2 U2 D2 , R F' R L2 F' U R' D' B2 R' U' B2 R2 F2 R2 U' R2 B2 U' F2 
D R2 B2 L U' R2 B2 L2 B2 D2 R2 F' L R2 B F2 L2 F L2 U' , U2 R L2 B2 R U' D2 L D2 F L2 B2 D' B2 R2 D' L2 D R2 
B F2 U L2 U2 R U2 L2 D2 F2 R2 U L R B R D2 L2 D2 U , R' F' B2 R' F2 B D2 B2 L U' B D R2 D2 F2 R2 F2 D L2 B2 L2 
U' F2 U2 R' L' B' D2 B2 U F2 D L U R' L2 B2 D2 R' F2 R , U' F2 D B' R B2 R F2 B L U F2 L2 U' R2 L2 D2 L2 B2 R2 
U' D2 R2 L2 U2 F' U F' D' U2 F2 L' R2 D2 B U D' F2 D2 B2 , U D' B U2 R' L2 B2 D' F U' F' D2 R2 F2 U' D' R2 F2 D' 
B' L2 R' D B2 D2 B' U2 R2 B' F U F2 U R2 F2 U' L2 R' F2 , U F2 U L2 F U2 L B2 D' R2 B L D2 B2 D' R2 U R2 L2 U L2 
F' B2 U2 F B2 U' B R2 U2 D F2 D2 U2 B2 L2 F2 D B2 D2 F , U B' U' F B' U F U' F U' D' R2 F2 D' B2 U L2 F2 R2 
B2 F2 D' L' R2 U' R' L' F2 D2 F2 D U2 B D' B R L D' R2 , U D' F2 R2 D2 F' R' F' R D' F U' F2 B2 U' D F2 D B2 R2 F2 
D2 B2 F2 L2 U' B2 L2 F' L B' U2 D2 R D L2 U' D L2 D2 L , U2 R2 F' B2 U2 F2 R' B D2 F' U' F' B2 U' L2 U' B2 D2 B2 L2 D 
L2 D2 R2 L2 U2 D2 B' L' D' F2 U F' B' U' F U2 L' R2 D2 U' , U' D F U B' R2 U D B D2 L' U L2 D R2 D' R2 L2 U' B2 D 
L' R B2 R2 B2 U' L2 B R F L' D U2 R2 U2 R2 U2 F U B2 , U' F' U' F2 R' L F' D' R' B U L2 U' F2 L2 U2 D R2 F2 R2 
L U2 F' B D2 F D2 R' U2 F' U R D2 U2 R2 D R2 L' B' F' , U' B U' R B' L' F' U2 R2 L' B U2 D2 F2 R2 U2 B2 R2 D' F2 U2 
F2 B' D R2 L U L' B2 D2 R2 B L2 D2 R2 F' L' U' D2 F2 D , R F2 R' F U2 R2 U2 R' D R L B2 D F2 U B2 L2 F2 R2 D' R2 
F' R U' R2 F U2 F' B2 R' D' R' B R' U2 F' R D' R' U D2 , B U2 L' U2 F B2 U2 R' D F2 B U L2 U F2 U B2 R2 U B2 U' 
R D2 R' B2 L2 B' F' U' L' B F2 L' D2 R' U D2 L2 U' B2 F' , U D' L2 B' R2 U2 R' F U F U2 L' U2 B2 R2 U B2 U2 R2 F2 B2 U 
F2 D L2 D2 U' L2 B' F2 U R2 D2 U F' B' U2 F2 D2 L2 B L , L F U' F L2 D B2 D F' B D F2 B2 D R2 F2 U R2 L2 
R2 L' F' U2 B2 D' B2 F2 D' R F2 L2 U2 F' R2 B' L2 D' L2 F2 , D' F B2 L B D' R2 B R' F L U' L2 U2 R2 U' F2 D' F2 B2 L2 
L2 R U2 L U L2 F U2 L' F D2 F2 R2 L' D2 F2 U2 B2 D R2 , U R2 L' B2 D2 B2 U' D' B' L' D2 B2 R2 D' L2 U' L2 D2 F2 L2 
B2 U2 F' R U2 R U2 F' L2 F B2 L B D R2 D' U2 B2 F R2 , D2 R2 F2 B' D R' F2 B U' R2 F R2 U2 B2 R2 D' R2 U2 L2 B2 D' 
R B U' D' F' B' R2 F2 L B2 L2 U2 R' F' D B2 D B2 L U , L' D B R U B2 D2 R F' L2 B' R2 D' B2 R2 U' F2 U2 R2 D' 
B2 U2 R2 D L2 D' U' R2 L2 F' B2 U2 B2 U2 L B D L' B2 F2 , F2 B2 L D' B' L' F2 D2 F B2 U D L2 F2 B2 D R2 U2 B2 
F' B2 L2 R2 F' D' L2 U2 B D F D2 B' D2 L2 U' L2 B D' R , L B2 R' L' B' D F' R2 B' U2 R2 F2 L2 B2 L2 U L2 U 
D F2 L2 D' B2 R2 L2 B2 F2 D2 B2 F2 L2 B' L2 F2 D' B2 R D , D' R' B2 D F2 L2 B L2 F2 U2 F2 D B2 L2 D2 B2 U 
R2 F2 B L U2 B2 R2 D2 F2 B2 R2 U2 D2 F2 L2 U2 B2 L2 F2 U' , U F2 R2 B2 D2 R2 D2 L B U2 R2 F2 D2 F2 R2 U2 F2 R2 
R B2 D' L2 F' R2 D2 F B R L2 B D' R2 D2 F2 L2 D2 R2 B2 , R2 F' D B D F D B U' L D' R2 F2 U B2 D R2 L2 D2 R2 
F L2 F' L2 R2 B2 F2 R2 U' R' F' U2 D F2 R2 F' D2 L2 D L2 , U2 B' R' B U' B R2 F' R U B' L2 U2 B2 L2 U F2 L2 D' F2 D' 
B2 L2 U' D' R D2 F2 U2 R' L U2 L2 B2 L F' R L B2 D' B2 , U D R' L F L' B2 R2 F2 R F2 U D2 F2 B2 R2 B2 D L2 D' 
U R2 L2 U2 L2 F2 L' R' B R' L2 B2 L2 U B2 R2 U' B2 D2 F2 , U R B2 U D' L' U R' B R L' U2 F2 D R2 D' L2 U2 R2 U R2 
R L' U L' B L B2 U2 D2 B2 R2 U F' L F2 U2 F2 D R D2 , R D' B R2 L B R2 L2 D L' B L2 F2 D B2 U' D' R2 D2 F2 R2 
U D' L F' L' U' B2 L' D2 U2 R2 U2 B' U2 L2 D2 R' F D' R , D F' R L' F2 R' B' U F' R' F' U2 F2 D2 B2 L2 B2 D' B2 R2 U 
U' L' U F U2 F' L2 D2 F' U2 B' U' L F' R F' U R' F D2 , U R F R' L U' B L B R2 L2 B L2 U2 R2 U B2 D' R2 U2 L2 U' 
D' B R2 L2 F' B2 L2 B2 L2 R' D2 U R' F2 D2 B D2 R' U2 D , F' U D L U' L2 U' R F2 U B' U2 B2 U R2 U' L2 D' B2 U' L2 
R2 B R' B U R' B D F U2 B L2 B2 R2 L2 F' R U F' L' , F U' F2 L' U D R' U' R' U' B2 D2 L2 D F2 B2 R2 F2 
R2 F D' U' B R B' F R2 L2 U2 F2 B2 U2 F2 D' R2 B' F2 L , U2 R' L' F' B U' L2 U2 R2 F2 B R' U B2 D' B2 U2 F2 D B2 L2 D2 
U' B2 L2 U R' D' U2 F D2 U B U B F' R' L U' B2 F U , U2 L F D' B2 R F R2 U2 L F R2 B2 D2 L2 D R2 L2 B2 D R2 
F' L2 U2 D' B2 D2 U2 R F' R2 U2 D2 R2 B' R' U F2 U' D2 L2 , R2 B2 D2 F' R F B' R U2 B2 R' U' R2 U R2 F2 U2 R2 B2 D2 F2 
B' L2 U2 D' B2 D' U2 L2 R2 D2 R D2 L F U2 L2 D2 B2 F' L2 , L2 U B L2 F B U' R L' B L U' L2 F2 B2 U' R2 U B2 D' B2 
L2 U R' U2 F R' D2 B2 F D2 L2 U2 R' B' U2 L D' L2 U2 L2 , D' F2 L B' D2 L F2 L' B' L D2 L2 D2 L2 F2 L2 D F2 B2 D' 
U B2 R' B R U' L2 U B' R B2 L2 F2 D' R' B L2 B' U' D' , F2 D2 R2 U' F' D' F2 R2 D' B L D L2 U B2 U2 D R2 B2 D' R2 
U2 L R D2 U2 F2 U2 R' D' F2 B R U B2 R2 B2 R2 D2 U B2 , U2 D' B D' F2 R2 D B L B L2 D F2 R2 L2 D L2 F2 U R2 
D F2 L' F2 B' D2 F U2 L2 B2 U2 L' R2 D R' L D' L D2 R2 , R D' B' U2 L2 U R2 D R2 F' R' F2 U' B2 D B2 U2 L2 D' F2 D2 
D2 U B' F2 D2 F2 R D2 B2 U' F' D' U' R' F R D2 F B D , L2 U F U D2 B2 R' U' L2 F' D' R2 L2 U R2 U D2 L2 F2 R2 
R2 U2 B' R D2 R U' B R' D' L' U F2 D2 F' L' U2 F' U2 L' , R D2 B U' F D' L' D F2 D R U' L2 F2 R2 D' R2 D R2 L2 U 
U' D2 F' R2 L' F2 L2 R' B F L2 B' D U' L R' D F U2 D2 , U' L' U' B' U2 D R B' U2 F2 B U D L2 B2 U' F2 U D B2 L2 
F2 R F2 L2 F2 B U2 R2 L' B2 D L2 D R' L U' B' R' F2 B2 , U' F' B R B2 L' F' U2 L U2 F L2 U' D' R2 D' F2 B2 U B2 
B2 F D' R U' L' U2 L2 U' L2 U L2 D' F2 D2 B' D' R2 D B' , R D' R' U' L' D2 B D' R B2 R' B2 D F2 D' F2 L2 D' F2 B2 
R2 B2 R2 U2 D R2 L2 F2 R' D2 B' D' U2 F2 U2 B R U D2 F2 , F2 U' D2 R' B' D2 B2 D' B' U2 L U' R2 F2 L2 D' F2 L2 D 
B D' U2 B' D L' F2 R2 D U2 F' U' B2 F2 D2 U2 R2 D' L2 U2 , U2 B2 R B L2 B2 R2 D2 R2 D R L2 U' B2 R2 D' F2 U' L2 B2 U2 
R F2 U2 B2 F L2 D L U2 R' B2 U2 R2 U' D2 R' F2 R' U' D' , U2 F' B' U R2 F' B' R U2 R2 L' D L2 U F2 R2 B2 D' B2 D2 F2 
U D' F' U2 B2 R2 L' B2 F2 U2 B2 R2 U R' D L B R' U2 B , U L D' R' B2 L U D2 F2 U F' U' L2 D B2 U R2 F2 U2 R2 F2 
U2 R2 F B U2 D2 F2 D L2 B2 L2 B2 D2 R2 B' F' U2 F R U2 , U2 R D2 R2 F2 B' U' F' B U2 R2 U R2 B2 R2 U' D2 L2 B2 
B2 F R2 B' R2 B2 U L2 D' L2 F B D' F2 L' D' R B' U2 R2 , F' L' D R B U B2 U L' D2 F B2 U2 F2 U L2 F2 L2 U B2 R2 
F' D U' F' U2 D L2 R2 D R' F' U2 B2 F2 D' B' D F2 U' B' , U' F' U2 D2 L U' L2 F2 D' B U2 R2 L2 B2 U' F2 U F2 B2 D 
D' F2 L2 U2 B2 U2 R' U F' B U2 R F U D' B F D' R2 L2 , U' F L' U2 R' U' D2 F' R2 L2 F U' B2 L2 F2 L2 U F2 U2 D' B2 
F2 B' R F2 R2 U F R2 F2 R' D' R' U2 D R' U2 F R2 U F' , D' R' D' R' B L2 D' R2 U R B' U' B2 L2 U' R2 D' B2 L2 
D R F' B2 L' R2 D' F2 U' B2 D' U' F2 U2 R F2 R2 L2 D2 F , U' L2 D' L' F L D2 L F2 B2 L F2 R2 U F2 D2 R2 B2 U F2 U 
R2 D' F2 L' U' R' F U B2 U' D' F2 B2 L' F2 L' F' D2 U2 L' , U2 R' B' D R2 L' B R U R' F' D R2 U' L2 U F2 U L2 U L2 
U B2 R' L D2 F2 U' F' B L D2 R' U D' F2 R2 F' U' L2 F2 , U R U2 F' R' U L' F' D' R U' L' D L2 U2 R2 L2 B2 U R2 L2 D 
U2 D2 F' R2 L2 U2 D' B2 L2 D R' B2 D2 F B2 L F' D' B R' , U R B D2 B2 R D' R2 D2 R2 L2 B R2 B2 U R2 U2 R2 L2 U' R2 B2 
L' R2 D' L' U2 L2 R2 D B2 L D2 R' F' R2 L F2 L2 B' U2 R , U2 D2 F L' F2 L' F' B' L' B2 R F2 D' R2 F2 L2 U B2 R2 D B2 
L2 D' F2 R2 F2 R D2 B2 D B L' R' F2 L D2 B2 R D2 F2 D2 , B2 R' U2 D2 B U2 R2 U D2 R' F2 U' L2 D F2 D F2 R2 D' R2 
B2 U2 L' R2 B2 D' U' B2 U' D' B2 F' R2 D2 B2 D' R' U2 D2 R , R' D2 R L2 F2 U2 L2 F D L B2 R2 D R2 D' R2 U' B2 U' F2 
U2 R' U B2 R' L2 D2 R2 U2 F' U2 L2 U B2 U2 F2 B D' L2 F , F U' R' U' D' B2 L F B' L F D' R2 F2 R2 L2 U L2 B2 R2 F2 
D B L U2 L' U F R' U2 B R2 L' U B' R B' U L2 R D2 , R L' U' R U F' U' D' F2 D' F' R2 D2 F2 U' D' F2 D' R2 L2 B2 
L2 U' D2 R2 F L' D' R2 F R2 L2 D2 R2 U B2 L2 B2 U' D2 R' , R B R2 D2 R L2 U B' R' D F' U R2 B2 L2 F2 U2 L2 D2 R2 U 
