Scramble (State),Solution
D2 L2 B L' U2 R2 L2 F2 D' B L2 F2 B' U' D' L' R2 D2 U2 L2 , L' U' L F2 Y U F2 Y R U R' F2 Y B' U B U F2 Y R U R' U' R U R' Y B U B' R U R' Y R U2 R' U' R U R' Y U F' U' F Y U2 Y2 U' L' U L U F U' F' Y U' Y U R U' R' U' F' U F Y U2 Y2 U R U' R' U' F' U F Y U Y' U' L' U L U F U' F' Y U U U F R U R' U' F' F R U R' U' F' U U U R U' L' U R' U' L U R' D' R D R' D' R D U U R' D' R D R' D' R D R' D' R D R' D' R D U U U U 
U2 F2 L R F2 D2 B2 L2 B L R' F' L2 D2 F2 B2 L R D' R2 , B U' B' U U U F2 Y R' F' U F R U U U F2 Y F' R U' R' U U F2 Y B U' B' U U U F2 Y R U' R' F' U' F Y U' F' U' F Y B U B' F' U' F Y U' R U2 R' U' R U R' Y U' Y U' L' U L U F U' F' Y U R U' R' U' F' U F Y U' Y U' L' U L U F U' F' Y U R U' R' U' F' U F Y Y U Y' U R U' R' U' F' U F Y U2 Y2 U R U' R' U' F' U F Y U U U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' U R U' L' U R' U' L U U U U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U 
D2 L D B' U2 R' U2 L' F2 L D' R2 U D2 B2 D2 L2 U2 F2 R , U F2 Y R' F' U F R U U U F2 Y L' U' L F2 Y B L U' L' B' F2 Y L' U' L F' U' F Y U' R U R' Y U' F' U' F Y R U2 R' U' R U R' Y U R U' R' U' F' U F Y U' Y U R U' R' U' F' U F Y Y U R U' R' U' F' U F Y Y Y U' Y U' L' U L U F U' F' Y F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U U 
R2 U2 B2 L' D2 B2 D B' U2 F R' U2 D2 B D U2 B2 L2 B2 D' , R' F' U F R U U U F2 Y L F U' F' L' U F2 Y U U U F2 Y B' U B U F2 Y U R U2 R' U' R U R' Y F' U' F Y U2 R U R' Y U R U2 R' U' R U R' Y U R U' R' U' F' U F Y U' Y U' L' U L U F U' F' Y U Y' U R U' R' U' F' U F Y Y Y Y U' Y U R U' R' U' F' U F Y R U R' U R U2 R' Y' R U R' U R U2 R' Y' U R U' L' U R' U' L U U R U' L' U R' U' L U U U U U 
U F2 U B2 R' B' U2 D' R2 U2 B' L R2 B2 F' U2 B2 U' F U , F' U F U U U F2 Y L' U' L F2 Y B' U B U F2 Y F' U F U U U F2 Y R U' R' F' U' F Y U F' U' F Y B U B' F' U' F Y U2 R U2 R' U' R U R' Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U2 Y2 U R U' R' U' F' U F Y U' Y U' L' U L U F U' F' Y U R U' R' U' F' U F Y U' L' U L U F U' F' Y Y Y Y U2 Y2 U R U' R' U' F' U F Y F R U R' U' F' U2 F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' U U U R U' L' U R' U' L U R U' L' U R' U' L U U U U U U U 
B2 R2 U2 L D2 L R U' D R U' B' F2 L2 F2 R2 L' U2 R2 F2 , L U' L' F2 Y F2 Y F' R U' R' U U F2 Y L' U' L F2 Y Y U' R U2 R' U' R U R' Y U' R U2 R' U' R U R' Y U R U R' Y U Y' U' L' U L U F U' F' Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U Y' U' L' U L U F U' F' Y Y Y U Y' U R U' R' U' F' U F Y Y Y U' L' U L U F U' F' Y U U U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U U U U 
F2 B2 D' L F' R2 F' U2 R B' F' D2 U B L2 D U' F2 D F' , F2 F2 Y F' R U' R' U U F2 Y F' U F U U U F2 Y B L U' L' B' F2 Y L' U' L F' U' F Y Y R U R' U' R U R' Y U2 R U R' Y U R U' R' U' F' U F Y U' Y U R U' R' U' F' U F Y Y U Y' U R U' R' U' F' U F Y U' Y U R U' R' U' F' U F Y U2 Y2 U R U' R' U' F' U F Y F R U R' U' F' U2 F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' U U U U R U' L' U R' U' L U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U U U 
D' U2 F2 B2 R' L' B L R2 B2 F' U2 F' U2 L F2 U D2 L2 F2 , R U R' F2 Y B2 U U F2 Y R F' U F U U U F2 Y L' U' L F2 Y U2 F' U' F Y U R U2 R' U' R U R' Y R U2 R' U' R U R' Y F' U' F Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U' L' U L U F U' F' Y Y Y U2 Y2 U' L' U L U F U' F' Y Y U' L' U L U F U' F' Y Y Y U' L' U L U F U' F' Y F R U R' U' F' U2 F R U R' U' F' F R U R' U' F' R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U U U U U 
U2 L' U2 D2 F L F R B F2 L D B2 F R2 D' L B2 L F , F2 Y R' F' U F R U U U F2 Y U U F2 Y L' U' L F2 Y U R U R' Y U F' U' F Y R U2 R' U' R U R' Y U2 R U R' Y U' L' U L U F U' F' Y U2 Y2 U' L' U L U F U' F' Y Y Y Y U2 Y2 U' L' U L U F U' F' Y U U U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U 
D2 L B D' B R' D' L2 B2 R F2 R2 L B' L F2 U B2 L U2 , B R' U R F2 Y L U' L' F2 Y F R U' R' F' U U F2 Y L F U' F' L' U F2 Y U R U R' Y U2 R U2 R' U' R U R' Y R U R' Y U F' U' F Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U2 Y2 U R U' R' U' F' U F Y U2 Y2 U R U' R' U' F' U F Y Y Y U R U' R' U' F' U F Y Y U2 Y2 U R U' R' U' F' U F Y R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U U U U R U' L' U R' U' L U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U 
U2 B2 U D F R2 D' B2 F L2 D2 B2 R B F' D' L U B L2 , R' F' U F R U U U F2 Y U F2 Y R' F' U F R U U U F2 Y F R U' R' F' U U F2 Y R U' R' F' U' F Y U2 R U2 R' U' R U R' Y R U R' Y Y U Y' U' L' U L U F U' F' Y Y U Y' U R U' R' U' F' U F Y U R U' R' U' F' U F Y U2 Y2 U' L' U L U F U' F' Y U F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U R U' L' U R' U' L U U U R U' L' U R' U' L U R U' L' U R' U' L U R' D' R D R' D' R D R' D' R D R' D' R D U U R' D' R D R' D' R D U 
R B U' B2 L U2 B D' B2 R2 U L' U' F L' B' R D' F2 R' , F' R U' R' U U F2 Y R U R' F2 Y U F2 Y B U' B' U U U F2 Y B' U B U2 R U R' Y B U B' R U R' Y R U R' U' R U R' Y U2 F' U' F Y U Y' U R U' R' U' F' U F Y U R U' R' U' F' U F Y Y U R U' R' U' F' U F Y Y U2 Y2 U R U' R' U' F' U F Y U U U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U U U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U U R' D' R D R' D' R D U U U 
U F D F2 B2 D2 B2 L' D2 F2 R2 L D2 U2 B' D L2 D2 U L' , F' R U' R' U U F2 Y R U R' F2 Y L U' L' F2 Y F R U' R' F' U U F2 Y U' R U R' Y B' U2 B F' U' F Y U2 F' U' F Y F' U' F Y U Y' U' L' U L U F U' F' Y U2 Y2 U' L' U L U F U' F' Y Y Y U Y' U' L' U L U F U' F' Y Y Y Y U' Y U' L' U L U F U' F' Y U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' U R U' L' U R' U' L U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U U 
F U2 B' L' B2 R' F2 B U D' R' F R2 B2 R' L2 B D2 B F , B L U' L' B' F2 Y R' F' U F R U U U F2 Y F' R U' R' U U F2 Y F R U' R' F' U U F2 Y B' U2 B F' U' F Y U2 F' U' F Y R U R' Y U' F' U' F Y Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U2 Y2 U' L' U L U F U' F' Y Y Y U' L' U L U F U' F' Y Y Y Y U' Y U R U' R' U' F' U F Y R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U U R U' L' U R' U' L R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U U U U 
R' F D2 L2 U2 B2 L' U B2 R2 F2 D2 L2 F' B' R' F B2 L' U2 , R' F' U F R U U U F2 Y B2 U U F2 Y L U' L' F2 Y F R U' R' F' U U F2 Y U2 F' U' F Y U2 R U2 R' U' R U R' Y U' R U2 R' U' R U R' Y U' R U R' Y U2 Y2 U R U' R' U' F' U F Y U R U' R' U' F' U F Y Y U2 Y2 U R U' R' U' F' U F Y U' Y U R U' R' U' F' U F Y U2 Y2 U R U' R' U' F' U F Y F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U U U U R U' L' U R' U' L U R U' L' U R' U' L R' D' R D R' D' R D U U R' D' R D R' D' R D R' D' R D R' D' R D U U U U U 
R B2 U B2 F U' B F' L D2 F D' F D2 R2 U2 D2 R U2 F , F' R U' R' U U F2 Y B L U' L' B' F2 Y B' U B U F2 Y B L U' L' B' F2 Y R U R' Y U2 R U R' Y U F' U' F Y U2 R U R' Y U' L' U L U F U' F' Y Y U R U' R' U' F' U F Y U2 Y2 U' L' U L U F U' F' Y Y U Y' U' L' U L U F U' F' Y U F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U U U R U' L' U R' U' L U R' D' R D R' D' R D U U R' D' R D R' D' R D R' D' R D R' D' R D U U U U 
F' U R' B2 U2 D2 B2 L' R D2 F2 B' D B2 U B2 R2 U L2 U' , B U' B' U U U F2 Y U U U F2 Y B' U B U F2 Y B' U B U F2 Y B' U B U2 R U R' Y U' F' U' F Y R U R' Y R U2 R' U' R U R' Y U R U' R' U' F' U F Y Y U' L' U L U F U' F' Y U R U' R' U' F' U F Y Y U' Y U R U' R' U' F' U F Y U' Y U R U' R' U' F' U F Y Y Y U R U' R' U' F' U F Y R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U R U' L' U R' U' L U U U U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U U U 
L B2 F2 R2 L2 F2 B' L2 R2 B' R' F2 B R' U2 F2 R2 B2 F D2 , F2 F2 Y B' U B U F2 Y F2 F2 Y B U' B' U U U F2 Y U2 F' U' F Y B' U2 B F' U' F Y U2 R U2 R' U' R U R' Y R U R' U' R U R' Y Y U2 Y2 U R U' R' U' F' U F Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y U' L' U L U F U' F' Y Y Y Y U R U' R' U' F' U F Y U U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U U R U' L' U R' U' L U R U' L' U R' U' L U U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U U U 
R' U D' L2 U2 L' D2 F2 U' B F2 D' R2 D L' B2 L2 R B2 D2 , L F U' F' L' U F2 Y R' U R F2 Y L U' L' F2 Y U F2 Y B' U2 B R U R' Y B' U2 B R U R' Y F' U' F Y F' U' F Y U' Y U R U' R' U' F' U F Y Y U' Y U' L' U L U F U' F' Y Y U2 Y2 U R U' R' U' F' U F Y U' Y U R U' R' U' F' U F Y F R U R' U' F' U2 F R U R' U' F' F R U R' U' F' U U U R U' L' U R' U' L U R U' L' U R' U' L U R' D' R D R' D' R D R' D' R D R' D' R D U U R' D' R D R' D' R D U 
B F' L D2 F' U2 R F2 B' L' D' R' B' U2 L D' B2 D2 U2 R2 , F U' F' U F2 Y U U F2 Y R' F' U F R U U U F2 Y B' U B U F2 Y B' U2 B R U R' Y U R U R' Y U' R U2 R' U' R U R' Y R U R' U' R U R' Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y Y U' L' U L U F U' F' Y Y Y U' Y U R U' R' U' F' U F Y Y U Y' U R U' R' U' F' U F Y Y Y U Y' U' L' U L U F U' F' Y F R U R' U' F' U2 F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R' D' R D R' D' R D U R' D' R D R' D' R D U U R' D' R D R' D' R D U 
D B' D' R2 F2 U2 F' R2 U2 L2 F U2 R2 F2 R2 F' R B L2 U2 , U U F2 Y L' U' L F2 Y B' U B U F2 Y B L U' L' B' F2 Y U' R U R' Y B U B' F' U' F Y U' R U R' Y U' R U2 R' U' R U R' Y U2 Y2 U' L' U L U F U' F' Y U' L' U L U F U' F' Y U' L' U L U F U' F' Y Y U2 Y2 U R U' R' U' F' U F Y F R U R' U' F' U2 F R U R' U' F' F R U R' U' F' U U R U' L' U R' U' L U R U' L' U R' U' L U U R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U 
B' D2 U' F L2 R2 U2 D L R2 F2 L2 R' D2 R L2 F L' U' B' , L2 U U U F2 Y F2 F2 Y F' U F U U U F2 Y B' U B U F2 Y L' U L U' R U R' Y U F' U' F Y B U B' R U R' Y U2 R U R' Y U Y' U' L' U L U F U' F' Y U R U' R' U' F' U F Y U Y' U' L' U L U F U' F' Y Y Y Y U2 Y2 U' L' U L U F U' F' Y U U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U R U' L' U R' U' L U R U' L' U R' U' L U R' D' R D R' D' R D U U R' D' R D R' D' R D R' D' R D R' D' R D U U U 
D' F2 B' L2 D R2 L2 F2 B2 R2 F2 L2 R F R2 D2 R2 U2 L' R' , R U R' F2 Y F' R U' R' U U F2 Y F2 Y F' R U' R' U U F2 Y B U B' F' U' F Y U' R U R' Y R U R' U' R U R' Y U F' U' F Y U2 Y2 U R U' R' U' F' U F Y Y Y U Y' U R U' R' U' F' U F Y U R U' R' U' F' U F Y Y U2 Y2 U R U' R' U' F' U F Y U U U F R U R' U' F' F R U R' U' F' U U U R U' L' U R' U' L U R U' L' U R' U' L R' D' R D R' D' R D U U R' D' R D R' D' R D R' D' R D R' D' R D U U U 
B2 D' U R2 D2 F2 U2 B L2 R2 U L' R' F' L2 F' D2 B2 R2 L , F' U F U U U F2 Y R' U R F2 Y F2 F2 Y F' U F U U U F2 Y B' U2 B F' U' F Y F' U' F Y Y F' U' F Y U R U' R' U' F' U F Y Y U2 Y2 U' L' U L U F U' F' Y Y U' Y U' L' U L U F U' F' Y Y U' Y U' L' U L U F U' F' Y Y Y U Y' U R U' R' U' F' U F Y U U F R U R' U' F' F R U R' U' F' U U U R U' L' U R' U' L U R U' L' U R' U' L U R' D' R D R' D' R D U R' D' R D R' D' R D U R' D' R D R' D' R D U U U 
B2 D2 R2 D' B2 U2 L B F2 L' D2 F' B' D' B2 L B2 R2 F2 R , B2 U U F2 Y R U R' F2 Y R U R' F2 Y F R U' R' F' U U F2 Y L' U L U' R U R' Y U F' U' F Y R U R' Y U2 F' U' F Y Y U R U' R' U' F' U F Y U Y' U R U' R' U' F' U F Y U R U' R' U' F' U F Y U R U' R' U' F' U F Y Y U' L' U L U F U' F' Y Y Y Y U2 Y2 U' L' U L U F U' F' Y U U F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U U U U 
B D' R' L2 B2 D' B2 R2 B2 D R2 U2 L2 R2 D2 F D2 F2 L2 F2 , R2 U F2 Y U U U F2 Y L' U' L F2 Y L U' L' F2 Y B U' B' U F' U' F Y U2 R U R' Y U F' U' F Y F' U' F Y Y U' Y U' L' U L U F U' F' Y U R U' R' U' F' U F Y U' L' U L U F U' F' Y U Y' U R U' R' U' F' U F Y Y Y Y U2 Y2 U R U' R' U' F' U F Y F R U R' U' F' U2 F R U R' U' F' F R U R' U' F' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' R U R' U R U2 R' Y' R U R' U R U2 R' Y' R U R' U R U2 R' Y' U U R U' L' U R' U' L U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U U 
R U' R' B2 L B' D2 F L' U' D2 F2 U B' F' L B2 L2 D L , U U U F2 Y F R U' R' F' U U F2 Y F2 Y F2 F2 Y U R U2 R' U' R U R' Y B' U2 B F' U' F Y R U2 R' U' R U R' Y U' R U R' Y U Y' U R U' R' U' F' U F Y U2 Y2 U R U' R' U' F' U F Y Y U R U' R' U' F' U F Y Y U2 Y2 U R U' R' U' F' U F Y Y Y U2 Y2 U R U' R' U' F' U F Y F R U R' U' F' U2 F R U R' U' F' F R U R' U' F' U U R U' L' U R' U' L U R U' L' U R' U' L R' D' R D R' D' R D R' D' R D R' D' R D U U R' D' R D R' D' R D R' D' R D R' D' R D U R' D' R D R' D' R D R' D' R D R' D' R D U 
